AM,POT,PA,KA
28,300,0.855,10.038
28,700,0.806,9.854
28,1000,0.784,9.845
29,20,0.563,10.047
29,60,0.542,10.006
29,100,0.508,9.98
29,300,0.471,9.908
29,700,0.446,9.799
29,1000,0.438,9.729
30,20,0.987,10.826
30,60,0.915,10.709
30,100,0.861,10.551
30,300,0.788,10.449
30,700,0.736,10.127
30,1000,0.718,10.114
31,20,0.707,10.285
31,60,0.642,10.021
31,100,0.6,10.009
31,300,0.558,9.855
31,700,0.531,9.755
31,1000,0.519,9.616
32,20,1.585,.
32,60,1.315,12.121
32,100,1.191,11.446
32,300,1.013,10.096
32,700,0.929,9.969
32,1000,0.906,9.818
33,20,0.683,10.044
33,60,0.561,9.984
33,100,0.539,9.931
33,300,0.494,9.828
33,700,0.471,9.755
33,1000,0.46,9.674
34,20,1.542,.
34,60,1.222,11.015
34,100,1.108,10.691
34,300,0.964,10.141
34,700,0.885,9.997
34,1000,0.86,9.884
36,20,1.526,11.193
36,60,1.342,11.161
36,100,1.207,10.924
36,300,1.064,10.746
36,700,0.983,10.204
36,1000,0.945,10.077
37,20,0.605,9.978
37,60,0.574,9.928
37,100,0.543,9.869
37,300,0.512,9.858
37,700,0.486,9.708
37,1000,0.476,9.448
38,20,1.148,11.499
38,60,1.049,11.342
38,100,0.972,11.194
38,300,0.886,10.612
38,700,0.828,10.082
38,1000,0.805,10.044
39,20,0.761,10.463
39,60,0.703,10.288
39,100,0.652,10.272
39,300,0.599,10.104
39,700,0.566,9.961
39,1000,0.553,9.921
40,20,1.347,11.356
40,60,1.215,11.217
40,100,1.1,10.641
40,300,0.983,10.024
40,700,0.915,9.889
40,1000,0.885,9.787
41,20,0.754,10.461
41,60,0.628,10.054
41,100,0.585,10.05
41,300,0.522,9.851
41,700,0.492,9.707
41,1000,0.478,9.553
43,20,0.659,10.193
43,60,0.599,9.947
43,100,0.55,9.872
43,300,0.506,9.898
43,700,0.482,9.814
43,1000,0.472,9.814
44,20,1.571,11.36
44,60,1.108,10.838
44,100,0.977,10.566
44,300,0.855,9.976
44,700,0.787,9.834
44,1000,0.761,9.857
45,20,0.641,10.001
45,60,0.553,9.893
45,100,0.512,9.825
45,300,0.469,9.776
45,700,0.448,9.647
45,1000,0.438,9.658
46,20,1.325,11.496
46,60,1.105,11.004
46,100,0.985,10.652
46,300,0.874,10.049
46,700,0.814,9.97
46,1000,0.788,9.827
47,20,1.247,11.581
47,60,0.942,10.842
47,100,0.872,10.486
47,300,0.778,10.014
47,700,0.715,9.74
47,1000,0.683,9.595
48,20,1.133,11.624
48,60,1.024,11.462
48,100,0.954,11.335
48,300,0.877,10.779
48,700,0.816,10.191
48,1000,0.796,10.122
50,20,1.889,13.061
50,60,1.25,11.608
50,100,1.133,11.319
50,300,0.99,11.092
50,700,0.92,10.426
50,1000,0.881,10.179
51,20,1.186,11.156
51,60,0.908,10.815
51,100,0.802,10.622
51,300,0.714,10.14
51,700,0.66,9.802
51,1000,0.633,9.687
54,20,0.982,10.442
54,60,0.914,10.366
54,100,0.833,10.292
54,300,0.751,10.064
54,700,0.707,9.902
54,1000,0.689,9.751
55,20,0.771,10.614
55,60,0.684,10.349
55,100,0.627,10.298
55,300,0.556,10.035
55,700,0.52,9.852
55,1000,0.504,9.738
56,20,1.321,13.08
56,60,1.112,12.746
56,100,1.001,12.123
56,300,0.86,11.969
56,700,0.825,11.864
56,1000,0.811,11.548
57,20,2.216,11.788
57,60,1.465,11.38
57,100,1.187,11.24
57,300,0.981,10.366
57,700,0.877,10.261
57,1000,0.839,10.202
58,20,1.073,12.443
58,60,0.886,11.713
58,100,0.832,11.497
58,300,0.72,10.634
58,700,0.666,10.03
58,1000,0.645,9.95
59,20,0.845,9.99
59,60,0.758,10.004
59,100,0.692,9.941
59,300,0.605,9.747
59,700,0.562,9.617
59,1000,0.538,9.599
60,20,1.253,.
60,60,1.073,12.612
60,100,0.981,12.385
60,300,0.855,12.28
60,700,0.785,10.857
60,1000,0.763,10.385
61,20,1.674,11.626
61,60,1.057,11.608
61,100,0.933,10.855
61,300,0.81,10.298
61,700,0.75,10.062
61,1000,0.727,10.049
64,20,1.217,12.497
64,60,1.006,11.896
64,100,0.918,11.748
64,300,0.814,10.557
64,700,0.761,10.262
64,1000,0.718,10.019
65,20,1.588,11.461
65,60,1.233,11.442
65,100,1.081,11.186
65,300,0.916,10.39
65,700,0.837,10.263
65,1000,0.809,10.051
66,20,1.21,11.478
66,60,1.074,11.214
66,100,0.964,10.991
66,300,0.865,10.457
66,700,0.804,10.336
66,1000,0.769,10.231
67,20,1.22,10.558
67,60,0.928,10.405
67,100,0.843,10.263
67,300,0.754,10.132
67,700,0.705,9.948
67,1000,0.686,9.876
68,20,1.24,12.616
68,60,0.972,11.885
68,100,0.878,11.622
68,300,0.765,11.477
68,700,0.713,11.026
68,1000,0.69,10.676
70,20,1.008,12.069
70,60,0.942,12.069
70,100,0.88,11.686
70,300,0.807,11.137
70,700,0.755,10.663
70,1000,0.731,10.467
71,20,0.63,9.816
71,60,0.573,9.759
71,100,0.539,9.792
71,300,0.48,9.647
71,700,0.452,9.647
71,1000,0.435,9.598
72,20,1.059,11.28
72,60,0.935,10.966
72,100,0.852,10.835
72,300,0.743,10.429
72,700,0.7,10.218
72,1000,0.679,10.183
73,20,2.298,10.753
73,60,1.137,10.637
73,100,0.943,10.561
73,300,0.777,10.367
73,700,0.695,10.073
73,1000,0.668,10
75,20,1.173,10.431
75,60,0.873,10.211
75,100,0.778,10.075
75,300,0.687,9.999
75,700,0.639,9.909
75,1000,0.624,9.773
76,20,1.127,11.989
76,60,0.877,11.361
76,100,0.785,11.161
76,300,0.691,10.849
76,700,0.647,10.288
76,1000,0.636,10.221
77,20,0.967,10.344
77,60,0.856,10.217
77,100,0.784,10.182
77,300,0.704,9.891
77,700,0.671,9.877
77,1000,0.647,9.833
78,20,1.087,12.497
78,60,0.97,11.755
78,100,0.892,12.088
78,300,0.788,11.043
78,700,0.737,10.232
78,1000,0.712,10.132
81,20,1.466,10.73
81,60,1.002,10.486
81,100,0.884,10.264
81,300,0.763,10.004
81,700,0.703,9.848
81,1000,0.685,9.73
82,20,0.991,11.747
82,60,0.894,11.576
82,100,0.823,11.542
82,300,0.731,10.567
82,700,0.693,10.484
82,1000,0.671,10.209
83,20,0.593,9.862
83,60,0.548,9.828
83,100,0.521,9.813
83,300,0.475,9.672
83,700,0.445,9.632
83,1000,0.431,9.495
84,20,0.982,10.916
84,60,0.891,10.726
84,100,0.841,10.605
84,300,0.746,10.233
84,700,0.702,10.07
84,1000,0.687,10.006
85,20,1.157,12.236
85,60,0.886,10.987
85,100,0.794,10.82
85,300,0.705,10.557
85,700,0.669,10.188
85,1000,0.652,10.137
86,20,1.239,12.885
86,60,0.99,11.961
86,100,0.889,11.735
86,300,0.781,11.522
86,700,0.744,11.297
86,1000,0.724,10.978
87,20,0.767,10.585
87,60,0.623,9.973
87,100,0.574,9.958
87,300,0.522,9.823
87,700,0.494,9.671
87,1000,0.485,9.615
88,20,0.913,11.365
88,60,0.835,11.14
88,100,0.764,10.984
88,300,0.686,10.496
88,700,0.644,10.241
88,1000,0.629,10.162
89,20,1.15,10.306
89,60,1.06,10.159
89,100,0.986,10.108
89,300,0.892,10.012
89,700,0.835,9.997
89,1000,0.809,9.868
90,20,1.121,12.135
90,60,1.002,11.387
90,100,0.906,11.215
90,300,0.8,10.614
90,700,0.75,10.339
90,1000,0.729,10.185
92,20,0.951,10.772
92,60,0.78,10.415
92,100,0.703,10.283
92,300,0.624,10.12
92,700,0.593,10.107
92,1000,0.577,9.875
93,20,1.338,10.458
93,60,0.945,10.327
93,100,0.83,10.203
93,300,0.718,10.095
93,700,0.664,9.954
93,1000,0.649,9.855
94,20,1.308,11.905
94,60,1.055,11.905
94,100,0.938,11.733
94,300,0.809,11.313
94,700,0.749,10.627
94,1000,0.73,10.453
95,20,0.742,10.54
95,60,0.599,10.206
95,100,0.556,10.062
95,300,0.508,9.938
95,700,0.489,9.872
95,1000,0.476,9.653
96,20,1.068,11.585
96,60,0.854,11.22
96,100,0.777,11.135
96,300,0.687,10.506
96,700,0.644,10.157
96,1000,0.627,10.087
97,20,1.506,11.569
97,60,1.193,10.972
97,100,1.077,10.768
97,300,0.907,10.155
97,700,0.82,10.099
97,1000,0.784,10.028
98,20,1.019,12.884
98,60,0.841,11.977
98,100,0.769,11.787
98,300,0.686,11.065
98,700,0.642,10.469
98,1000,0.621,10.187
99,20,0.773,10.118
99,60,0.664,9.994
99,100,0.613,9.935
99,300,0.546,9.771
99,700,0.515,9.724
99,1000,0.499,9.691
